apn,SitusHouseNbr,SitusHouseNbrSuffix,SitusDirectionLeft,SitusStreet,SitusMode,SitusDirectionRight,SitusUnitType,SitusUnitNbr,SitusCity,SitusState,SitusZIP5,HomeEquityIntelScore_LineofCredit
00615900001500,4702,,,227TH,ST,SW,,,MOUNTLAKE TERRACE,WA,98043,106
401930-0745,3576,,NE,180TH,ST,,,,LAKE FOREST PARK,WA,98155,119
27051600401500,4625,,,196TH,ST,SE,,,BOTHELL,WA,98012,95
192406-9025,19039,,SE,56TH,ST,,,,ISSAQUAH,WA,98027,193
00726600003600,17518,,,54TH,PL,W,,,LYNNWOOD,WA,98037,235
543810-0090,1708,,,MELROSE,AVE,,UNIT,501,SEATTLE,WA,98122,64
00842800017500,5629,,,137TH,PL,SE,,,EVERETT,WA,98208,
00438731302800,1510,,,MAPLE,ST,,,,EVERETT,WA,98201,
9525000020,175,,S,SPRUCE,ST,,,,BUCKLEY,WA,98321,123
00750200036400,5715,,,144TH,ST,SE,,,EVERETT,WA,98208,170
680610-0460,14530,,SE,153RD,PL,,,,RENTON,WA,98058,94
430970-0050,10419,,,172ND,AVE,SE,,,RENTON,WA,98059,152
7000550010,202,,,WHITLEY,ST,NW,,,ORTING,WA,98360,68
715170-0255,1115,,,36TH,AVE,,,,SEATTLE,WA,98122,239
758070-0020,317,,,KENNEBECK,AVE,S,APT,102,KENT,WA,98030,
329867-0460,22637,,NE,5TH,PL,,,,SAMMAMISH,WA,98074,163
01019100001800,4115,,,167TH,PL,SE,,,BOTHELL,WA,98012,184
00856100037500,14842,,,CAMP,DR,SE,,,MONROE,WA,98272,47
680460-0260,18223,,,129TH,PL,NE,,,BOTHELL,WA,98011,192
815010-0300,8101,,,34TH,AVE,SW,,,SEATTLE,WA,98126,269
29062000404000,12419,,,MACHIAS CUTOFF,,,,,LAKE STEVENS,WA,98258,37
4001400360,3005,,,37TH,ST,NW,,,GIG HARBOR,WA,98335,154
00729200000100,3527,,,97TH,PL,SE,,,EVERETT,WA,98208,150
8015500120,12217,,,136TH,AVE,E,,,PUYALLUP,WA,98374,131
3245001840,3510,,N,8TH,ST,,,,TACOMA,WA,98406,162
542240-0150,1841,,,C,PL,SE,,,AUBURN,WA,98002,134
0220251166,6415,,S,MASON,AVE,,,,TACOMA,WA,98409,125
132760-0160,13703,,SE,255TH,PL,,,,KENT,WA,98042,150
025560-0250,511,,E,ROY,ST,,APT,211,SEATTLE,WA,98102,107
00772700000900,4308,,,127TH,PL,SE,,,EVERETT,WA,98208,
061900-0055,20612,,,MARINE VIEW,DR,SW,,,NORMANDY PARK,WA,98166,98
01011800003500,16308,,,40TH,AVE,SE,,,BOTHELL,WA,98012,159
01120200400200,15720,,,MANOR,WAY,,APT,D2,LYNNWOOD,WA,98087,59
